ISO3,countryname,year,gen_govtax_GDP,ADB,AMECO,AMF,EUS,IMF_GFS,CS2,CS1,chainlinking_ratio,source,source_change,source_change_count
AUS,Australia,2015,27.09506,27.323443,,,,27.095057,,,1,IMF_GFS,,
AUS,Australia,1966,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1955,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2019,28.11585,28.720253,,,,28.115848,,,1,IMF_GFS,,
AUS,Australia,1938,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1866,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1968,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1893,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1883,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1933,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1861,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1972,21.07477,,,,,21.074767,,,1,IMF_GFS,,
AUS,Australia,2018,27.91846,28.66831,,,,27.918465,,,1,IMF_GFS,,
AUS,Australia,2022,27.89082,29.276009,,,,27.890821,,,1,IMF_GFS,,
AUS,Australia,2002,27.86744,28.807079,,,,27.867439,,,1,IMF_GFS,,
AUS,Australia,1958,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1856,5.354187,,,,,,5.354187,,1,CS2,,
AUS,Australia,1950,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2010,24.39893,25.520228,,,,24.398934,,,1,IMF_GFS,,
AUS,Australia,1989,26.75865,,,,,26.758653,,,1,IMF_GFS,,
AUS,Australia,1874,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1910,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1890,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1908,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2012,25.68139,25.926674,,,,25.681385,,,1,IMF_GFS,,
AUS,Australia,1903,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2001,29.40583,30.338761,,,,29.405833,,,1,IMF_GFS,,
AUS,Australia,1926,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1975,22.98005,,,,,22.980054,,,1,IMF_GFS,,
AUS,Australia,1868,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1969,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2004,28.78956,29.789293,,,,28.789558,,,1,IMF_GFS,,
AUS,Australia,1948,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1970,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1906,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2005,28.90756,30.095457,,,,28.907564,,,1,IMF_GFS,,
AUS,Australia,1957,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1907,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1951,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1902,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1983,25.69366,,,,,25.69366,,,1,IMF_GFS,,
AUS,Australia,1927,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1998,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1974,20.73025,,,,,20.730249,,,1,IMF_GFS,,
AUS,Australia,1917,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1930,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2011,24.41942,25.26534,,,,24.419418,,,1,IMF_GFS,,
AUS,Australia,1981,24.4394,,,,,24.439398,,,1,IMF_GFS,,
AUS,Australia,1959,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1882,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1888,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2014,26.81698,27.050281,,,,26.81698,,,1,IMF_GFS,,
AUS,Australia,1936,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1962,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1919,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1932,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1980,23.71668,,,,,23.716683,,,1,IMF_GFS,,
AUS,Australia,1891,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1915,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1873,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1963,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1851,3.692487,,,,,,3.692487,,1,CS2,,
AUS,Australia,1941,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1922,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1909,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1921,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1865,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1884,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1991,28.09064,,,,,28.090635,,,1,IMF_GFS,,
AUS,Australia,1986,26.75327,,,,,26.75327,,,1,IMF_GFS,,
AUS,Australia,1990,27.32415,,,,,27.324155,,,1,IMF_GFS,,
AUS,Australia,1946,,,,,,,,,1,IMF_GFS,,
AUT,Austria,2014,43.9,,44.06405,,43.9,28.238785,,,1,EUS,,
AUT,Austria,2004,43.5,,43.63809,,43.5,27.856684,,,1,EUS,,
AUT,Austria,1975,26.50862,,,,,26.508619,,,1,IMF_GFS,,
AUT,Austria,1993,27.15951,,,,,27.159507,,,1,IMF_GFS,,
AUT,Austria,2013,43.8,,43.95188,,43.8,28.187099,,,1,EUS,,
AUT,Austria,2017,42.8,,42.94755,,42.8,27.226083,,,1,EUS,,
AUT,Austria,1999,44.7,,44.86278,,44.7,28.501903,,,1,EUS,,
AUT,Austria,2020,42.8,,42.946,,42.8,26.536657,,,1,EUS,,
AUT,Austria,1986,28.01559,,,,,28.015589,,,1,IMF_GFS,,
AUT,Austria,2015,44.2,,44.39574,,44.2,28.644976,,,1,EUS,,
AUT,Austria,1979,27.00891,,,,,27.008913,,,1,IMF_GFS,,
AUT,Austria,1983,26.42508,,,,,26.425075,,,1,IMF_GFS,,
AUT,Austria,1989,25.92072,,,,,25.920725,,,1,IMF_GFS,,
AUT,Austria,2005,42.3,,42.44496,,42.3,27.022757,,,1,EUS,,
AUT,Austria,1998,45.1,,45.30693,,45.1,28.809055,,,1,EUS,,
AUT,Austria,1984,27.6569,,,,,27.6569,,,1,IMF_GFS,,
AUT,Austria,1996,44.4,,44.6235,,44.4,27.895106,,,1,EUS,,
AUT,Austria,1976,26.34534,,,,,26.345341,,,1,IMF_GFS,,
AUT,Austria,1974,26.78648,,,,,26.786478,,,1,IMF_GFS,,
AUT,Austria,1985,28.04065,,,,,28.040653,,,1,IMF_GFS,,
AUT,Austria,2025,44.23616,,44.23616,,,,,,1,AMECO,1,2
AUT,Austria,2001,45.4,,45.59221,,45.4,29.564367,,,1,EUS,,
AUT,Austria,1977,26.32615,,,,,26.326147,,,1,IMF_GFS,,
AUT,Austria,1991,26.45061,,,,,26.450608,,,1,IMF_GFS,,
AUT,Austria,2003,43.9,,44.09274,,43.9,28.256682,,,1,EUS,,
AUT,Austria,2018,43.1,,43.25934,,43.1,27.483283,,,1,EUS,,
AUT,Austria,2002,44.3,,44.46799,,44.3,28.566668,,,1,EUS,,
AUT,Austria,1981,27.72135,,,,,27.721351,,,1,IMF_GFS,,
AUT,Austria,2021,43.8,,44.03344,,43.8,27.972589,,,1,EUS,,
AUT,Austria,1978,27.27952,,,,,27.279524,,,1,IMF_GFS,,
AUT,Austria,1988,26.85001,,,,,26.850008,,,1,IMF_GFS,,
AUT,Austria,1972,26.03642,,,,,26.036422,,,1,IMF_GFS,,
AUT,Austria,2012,42.9,,42.97375,,42.9,27.627498,,,1,EUS,,
AUT,Austria,1990,26.05289,,,,,26.052886,,,1,IMF_GFS,,
AUT,Austria,2006,41.6,,41.76845,,41.6,26.550736,,,1,EUS,,
